state,county,category,category_label,tier,phase,strategy,sources
Alabama,Autauga,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Baldwin,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Barbour,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Bibb,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Blount,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Bullock,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Butler,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Calhoun,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Chambers,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Cherokee,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Chilton,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Choctaw,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Clarke,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Clay,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Cleburne,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Coffee,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Colbert,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Conecuh,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Coosa,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Covington,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Crenshaw,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Cullman,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Dale,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Dallas,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,DeKalb,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Elmore,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Escambia,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Etowah,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Fayette,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Franklin,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Geneva,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Greene,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Hale,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Henry,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Houston,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Jackson,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Lamar,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Lauderdale,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Lawrence,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Lee,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Limestone,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Lowndes,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Macon,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Madison,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Marengo,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Marion,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Marshall,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Mobile,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Monroe,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Montgomery,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Morgan,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Perry,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Pickens,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Pike,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Randolph,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Russell,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Shelby,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,St. Clair,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Sumter,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Talladega,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Tallapoosa,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Tuscaloosa,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Walker,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Washington,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Wilcox,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Winston,id-documentation,ID & Documentation,B,2,regional,Legal aid ID clinic; circuit clerk vital records
Alabama,Autauga,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Baldwin,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Barbour,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Bibb,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Blount,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Bullock,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Butler,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Calhoun,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Chambers,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Cherokee,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Chilton,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Choctaw,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Clarke,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Clay,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Cleburne,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Coffee,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Colbert,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Conecuh,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Coosa,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Covington,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Crenshaw,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Cullman,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Dale,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Dallas,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,DeKalb,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Elmore,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Escambia,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Etowah,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Fayette,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Franklin,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Geneva,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Greene,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Hale,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Henry,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Houston,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Jackson,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Lamar,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Lauderdale,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Lawrence,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Lee,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Limestone,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Lowndes,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Macon,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Marengo,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Marion,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Marshall,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Monroe,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Morgan,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Perry,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Pickens,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Pike,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Randolph,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Russell,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,St. Clair,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Sumter,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Talladega,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Tallapoosa,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Tuscaloosa,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Walker,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Washington,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Wilcox,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Winston,transportation,Transportation,B,2,regional,Transit authority voucher programs
Alabama,Autauga,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Baldwin,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Barbour,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Bibb,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Blount,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Bullock,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Butler,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Calhoun,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Chambers,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Cherokee,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Chilton,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Choctaw,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Clarke,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Clay,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Cleburne,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Coffee,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Colbert,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Conecuh,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Coosa,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Covington,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Crenshaw,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Cullman,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Dale,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Dallas,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,DeKalb,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Elmore,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Escambia,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Etowah,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Fayette,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Franklin,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Geneva,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Greene,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Hale,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Henry,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Houston,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Jackson,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Lamar,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Lauderdale,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Lawrence,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Lee,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Limestone,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Lowndes,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Macon,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Madison,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Marengo,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Marion,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Marshall,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Mobile,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Monroe,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Montgomery,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Morgan,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Perry,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Pickens,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Pike,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Randolph,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Russell,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Shelby,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,St. Clair,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Sumter,peer-support,Peer Support,B,2,regional,State peer certification roster
Alabama,Talladega,peer-support,Peer Support,B,2,regional,State peer certification roster
